,id,Film,winning,winning_year,title,genres,year,countries,cast,business,vote details,rating,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,males,females,aged under 18,males under 18,females under 18,aged 18-29,males aged 18-29,females aged 18-29,aged 30-44,males aged 30-44,females aged 30-44,aged 45+,males aged 45+,females aged 45+,imdb staff,top 1000 voters,us users,non-us users,IMDb users,cast0,cast1,cast2,cast3
50,50,Broadway Melody of 1936,0,1935,"""Broadway Melody of 1936""","[""Musical"", ""Romance""]",1935,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXXVI in U.S.A. by Metro-Goldwyn-Mayer Corporation (on print); \u00a9 Metro-Goldwyn-Mayer Corp.; 16 September 1935; LP5803 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""29 April 1935 -  July 1935"", ""August 1935 (additional scenes)""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,6.9,12,9,13,28,71,187,339,204,74,79,"(628, 6.8)","(191, 7.1)","(2, 8.5)",,"(2, 8.5)","(83, 6.9)","(49, 6.6)","(34, 7.3)","(239, 6.7)","(174, 6.6)","(63, 6.8)","(484, 7.0)","(393, 7.0)","(84, 7.2)",,"(154, 6.5)","(542, 6.9)","(252, 6.9)",,"(""Jack Benny"":""male"")","(""Eleanor Powell"":""female"")","(""Robert Taylor"":""male"")","(""Una Merkel"":""female"")"
51,51,Captain Blood,0,1935,"""Captain Blood""","[""Action"", ""Adventure""]",1935,"[""USA""]",,"{""copyright holder"": [""copyright MCMXXXV by Warner Bros. Pictures Inc. and The Vitaphone Corp. (on print)"", ""\u00a9 Warner Bros. Pictures Inc.; 31 December 1935; LP6027 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""5 August 1935 - 29 October 1935""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$1,200,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.8,67,27,60,119,302,816,2128,3259,1631,1465,"(6646, 7.8)","(1206, 7.8)","(7, 7.5)","(7, 7.5)",,"(1264, 7.8)","(971, 7.8)","(283, 7.8)","(3158, 7.7)","(2682, 7.7)","(446, 7.7)","(3348, 7.9)","(2862, 7.9)","(450, 7.9)","(1, 7.0)","(417, 7.5)","(3620, 8.0)","(3817, 7.6)",,"(""Errol Flynn"":""male"")","(""Olivia de Havilland"":""female"")","(""Lionel Atwill"":""male"")","(""Basil Rathbone"":""male"")"
52,52,David Copperfield,0,1935,"""The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger""","[""Adventure"", ""Drama"", ""Romance""]",1935,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXXV in U.S.A. by Metro-Goldwyn-Mayer Corporation (on print); \u00a9 Metro-Goldwyn-Mayer Corporation; 15 January 1935; LP5259 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""17 September 1934 - 28 November 1934""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.6,33,18,26,53,127,346,622,786,396,407,"(1844, 7.5)","(357, 7.8)","(4, 8.5)","(2, 9.0)","(2, 8.0)","(228, 7.4)","(171, 7.4)","(56, 7.2)","(728, 7.2)","(627, 7.1)","(93, 7.6)","(1217, 7.9)","(1006, 7.8)","(196, 8.1)","(2, 7.0)","(248, 7.2)","(1160, 7.7)","(952, 7.3)",,"(""Edna May Oliver"":""female"")","(""Elizabeth Allan"":""female"")","(""Jessie Ralph"":""female"")","(""Harry Beresford"":""male"")"
53,53,The Informer,0,1935,"""The Informer""","[""Crime"", ""Drama""]",1935,"[""USA""]",,"{""copyright holder"": [""COPYRIGHT MCMXXXV RKO RADIO PICTURES, INC. ALL RIGHTS RESERVED (on print); \u00a9 RKO Radio Pictures, Inc., U.S. Copyright LP5631, 24 May 1935 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""11 February 1935 - 14 March 1935""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$243,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.6,68,16,64,92,203,447,972,1213,660,509,"(3144, 7.6)","(349, 7.3)","(3, 8.0)","(3, 8.0)",,"(645, 7.6)","(583, 7.7)","(62, 7.0)","(1426, 7.4)","(1295, 7.5)","(119, 7.2)","(1383, 7.6)","(1212, 7.6)","(158, 7.4)","(1, 8.0)","(279, 7.1)","(1575, 7.6)","(1797, 7.4)",,"(""Victor McLaglen"":""male"")","(""Heather Angel"":""female"")","(""Preston Foster"":""male"")","(""Margot Grahame"":""female"")"
54,54,The Lives of a Bengal Lancer,0,1935,"""The Lives of a Bengal Lancer""","[""Adventure"", ""Drama""]",1935,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXXV by Paramount Productions, Inc. (on print); \u00a9 Paramount Productions, Inc., U.S. Copyright LP5269, 24 January 1935 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""20 August 1934 - 27 November 1934"", ""December 1934 ((retakes) )""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.3,22,13,14,31,96,249,493,541,214,152,"(1284, 7.3)","(176, 7.3)","(2, 7.5)","(1, 9.0)",,"(143, 7.3)","(107, 7.4)","(36, 7.2)","(488, 7.1)","(418, 7.0)","(63, 7.4)","(828, 7.5)","(742, 7.5)","(74, 7.2)","(1, 8.0)","(198, 7.2)","(738, 7.4)","(675, 7.3)",,"(""Gary Cooper"":""male"")","(""Franchot Tone"":""male"")","(""Richard Cromwell"":""male"")","(""Guy Standing"":""male"")"
55,55,A Midsummer Night's Dream,0,1935,"""A Midsummer Night's Dream""","[""Comedy"", ""Fantasy"", ""Romance""]",1935,"[""USA""]",,"{""copyright holder"": [""Warner Bros. Pictures, Inc.; 16 October 1935; LP5866""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""19 December 1934 - 9 March 1935""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.1,34,26,59,90,170,331,583,447,271,329,"(1404, 6.9)","(453, 7.3)","(5, 7.4)","(2, 6.0)","(3, 8.7)","(269, 6.9)","(184, 7.0)","(83, 6.9)","(636, 6.8)","(467, 6.7)","(164, 7.3)","(934, 7.2)","(730, 7.1)","(189, 7.5)","(1, 7.0)","(214, 6.7)","(1120, 7.0)","(649, 7.0)",,"(""Ian Hunter"":""male"")","(""Verree Teasdale"":""female"")","(""Hobart Cavanaugh"":""male"")","(""Dick Powell"":""male"")"
56,56,Les Mis�rables,0,1935,"""Les Mis\u00e9rables""","[""Drama"", ""History"", ""Romance""]",1935,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXXV by 20th Century Pictures, Inc.""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""16 January 1935 - 26 February 1935""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$1,000,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.7,182,13,23,28,67,183,537,758,430,370,"(1704, 7.7)","(438, 7.2)","(6, 9.1)","(4, 9.2)","(2, 9.0)","(328, 7.7)","(234, 7.6)","(94, 8.0)","(691, 7.6)","(552, 7.6)","(133, 7.3)","(1095, 7.6)","(883, 7.7)","(202, 6.7)","(1, 8.0)","(211, 7.3)","(1296, 7.5)","(764, 7.7)",,"(""Fredric March"":""male"")","(""Charles Laughton"":""male"")","(""Cedric Hardwicke"":""male"")","(""Rochelle Hudson"":""female"")"
57,57,Naughty Marietta,0,1935,"""Naughty Marietta""","[""Drama"", ""Musical"", ""Romance""]",1935,"[""USA""]",,"{""copyright holder"": [""Copyright MCMXXXV in U.S.A. by Metro-Goldwyn-Mayer Corporation (on print); \u00a9 Metro-Goldwyn-Mayer Corp., 6 March 1935, LP5468 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""production dates"": [""4 December 1934 - 7 February 1935""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.0,9,8,14,23,76,134,179,109,57,189,"(451, 6.7)","(179, 7.6)","(1, 8.0)",,"(1, 8.0)","(80, 7.1)","(46, 6.6)","(34, 7.8)","(193, 6.3)","(137, 6.1)","(54, 7.4)","(352, 7.3)","(259, 7.2)","(86, 7.6)",,"(107, 6.1)","(474, 7.1)","(143, 6.6)",,"(""Jeanette MacDonald"":""female"")","(""Nelson Eddy"":""male"")","(""Frank Morgan"":""male"")","(""Elsa Lanchester"":""female"")"
58,58,Ruggles of Red Gap,0,1935,"""Ruggles of Red Gap""","[""Comedy"", ""Romance""]",1935,"[""USA""]",,"{""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""6 November 1934""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.8,45,7,15,35,87,225,572,787,459,436,"(1807, 7.8)","(400, 7.8)","(4, 9.2)","(3, 9.0)","(1, 10.0)","(298, 7.6)","(241, 7.6)","(56, 7.5)","(721, 7.7)","(618, 7.6)","(96, 8.0)","(1169, 7.9)","(919, 7.9)","(238, 7.8)","(1, 8.0)","(216, 7.5)","(1267, 8.0)","(871, 7.6)",,"(""Charles Laughton"":""male"")","(""Mary Boland"":""female"")","(""Charles Ruggles"":""male"")","(""Zasu Pitts"":""female"")"
59,59,Top Hat,0,1935,"""Top Hat""","[""Comedy"", ""Musical"", ""Romance""]",1935,"[""USA""]",,"{""gross"": [""$1,782,000 (USA)"", ""$3,202,000 (Worldwide)"", ""$1,420,000 (Worldwide) (except USA)""], ""copyright holder"": [""COPYRIGHT MCMXXXV - RKO RADIO PICTURES,INC.- ALL RIGHTS RESERVED (on print); \u00a9 RKO Radio Pictures, Inc.; 29 August 1935; LP5812 (in copyright registry)""], ""charts & trends"": [""Box Office"", ""Oscar Winners"", ""Most Popular by Genre""], ""photos"": [""Latest Stills"", ""Latest Posters"", ""Photos We Love""], ""get discovered"": [""Enhance your IMDb Page"", ""Go to IMDbPro""], ""filming dates"": [""1 April 1935 - 5 June 1935""], ""celebs"": [""Born Today"", ""Celebrity News"", ""Most Popular Celebs""], ""activity"": [""Your Activity"", ""Your Lists"", ""Your Ratings"", ""Recently Viewed""], ""get informed"": [""Industry information at your fingertips""], ""budget"": [""$609,000 (estimated)""], ""community"": [""Message Boards"", ""Contributor Zone"", ""Polls""], ""movies"": [""In Theaters"", ""Showtimes & Tickets"", ""Latest Trailers"", ""Coming Soon"", ""Release Calendar"", ""Top Rated Movies"", ""Most Popular Movies""], ""get connected"": [""Over 200,000 Hollywood insiders""], ""tv & video"": [""TV Picks"", ""On Tonight"", ""Top Rated TV Shows"", ""Most Popular TV Shows"", ""Watch Now on Amazon"", ""DVD & Blu-Ray""], ""news"": [""Top News"", ""Movie News"", ""TV News"", ""Celebrity News"", ""Indie News""], ""special features"": [""X-Ray for Movies & TV"", ""IMDb Picks"", ""Best of 2015"", ""Scary Good"", ""Amazon Studios""], ""events"": [""Awards Central"", ""Sundance"", ""Cannes"", ""Comic-Con"", ""Emmy Awards"", ""Venice Film Festival"", ""Toronto Film Festival"", ""Festival Central"", ""Tribeca"", ""All Events""], ""latest headlines"": [""\u2018Suicide Squad\u2019 On Edge Of $200M Int\u2019l As It Pushes To $370.6M Global"", ""13 hours ago"", ""Thomas Gibson Exits \u2018Criminal Minds\u2019 After On-Set Altercation"", ""18 hours ago"", ""Box Office: \u2018Sausage Party\u2019 Feasts on $3.3 Million on Thursday Night"", ""20 hours ago""]}",,7.8,145,68,98,207,461,1026,2493,3923,2282,2566,"(7448, 7.8)","(3336, 8.0)","(35, 8.5)","(11, 8.1)","(23, 8.6)","(2936, 7.9)","(1675, 7.8)","(1245, 8.0)","(4064, 7.7)","(2933, 7.6)","(1085, 7.9)","(3630, 8.0)","(2710, 7.9)","(879, 8.1)","(3, 8.0)","(415, 7.4)","(4751, 8.0)","(5379, 7.7)",,"(""Fred Astaire"":""male"")","(""Ginger Rogers"":""female"")","(""Edward Everett Horton"":""male"")","(""Erik Rhodes"":""male"")"
